hidden_dims,dropout,learning_rate,epochs,accuracy,precision,recall,f1,roc_auc,average_precision
"(256, 64)",0.3,0.0005,15,0.7060468595027884,0.17484875533075472,0.710171198388721,0.28060960566630855,0.771936366123229,0.27179812191010977
"(128, 64)",0.3,0.0005,15,0.6938848511454726,0.1703291476407915,0.7212487411883183,0.27557812920851127,0.7734491595044115,0.27142370637080715
"(256, 128)",0.3,0.0005,15,0.6979984716192706,0.17113720941472138,0.7131923464249749,0.27603679451200497,0.7695995211020638,0.271130279753405
"(128, 64)",0.3,0.0005,20,0.6862104287595727,0.16748631344530018,0.7270896273917422,0.27225762660733815,0.771235232641437,0.270288195976685
"(128, 64)",0.3,0.001,15,0.6835276327984001,0.16694997013828272,0.7319234642497482,0.2718838844830166,0.7703968228268222,0.2679157215813087
"(128, 64)",0.3,0.001,20,0.699478074240281,0.1715743440233236,0.711178247734139,0.2764533176746917,0.7672846399379118,0.267360537450971
"(256, 128)",0.3,0.001,15,0.7017706453343739,0.1718589020261983,0.7055387713997986,0.27639261480195676,0.76768577823248,0.2663003847782369
"(128, 64)",0.2,0.001,15,0.6867957660601922,0.16655783582089553,0.7192346424974824,0.2704790759325885,0.7670089277174114,0.2646156594066571
"(128, 64)",0.2,0.0005,15,0.6909256459034518,0.16758189736792276,0.7129909365558912,0.27137874199854345,0.7685959664519227,0.2640648691449272
"(256, 64)",0.3,0.001,15,0.6976732842300376,0.17097194727439524,0.7131923464249749,0.27582177909331673,0.7667716393330554,0.2638343873382969
"(256, 64)",0.2,0.0005,15,0.7125831260263727,0.1756811919583631,0.6934541792547835,0.28034034930586654,0.7654030564583517,0.2596865783825455
"(256, 64)",0.3,0.0005,20,0.7169731557810188,0.17612453144523116,0.6813695871097684,0.2798990609357548,0.7624044850085587,0.25755630453489314
"(128, 64)",0.2,0.0005,20,0.6914947238346097,0.1671655975291043,0.7085599194360523,0.2705113417916186,0.7663015707568743,0.25732338450226944
"(256, 128)",0.2,0.0005,15,0.7097377363705836,0.17475140073696432,0.6972809667673716,0.279463997416855,0.7659106173081749,0.2570624337553805
"(256, 128)",0.3,0.0005,20,0.6844056387493292,0.16514442023274142,0.7174219536757301,0.2684857164392854,0.7632240890164792,0.25608838503994147
"(256, 128)",0.2,0.001,15,0.711119782774824,0.17338503928972343,0.6843907351460221,0.27667630175467167,0.7625389132181666,0.255177173009721
"(256, 128)",0.3,0.001,20,0.684470676227176,0.16495754257343045,0.716012084592145,0.26813999094886104,0.7625969782392343,0.2547983832476729
"(256, 64)",0.3,0.001,20,0.7050225192267043,0.17105197463677668,0.6900302114803626,0.2741457949907978,0.7577280109658622,0.25161986713703133
"(128, 64)",0.2,0.001,20,0.6929905858250817,0.16735981643482,0.7051359516616315,0.2705146036161335,0.7614296467076818,0.2508856613422132
"(256, 64)",0.2,0.001,15,0.7050062598572427,0.17038519259629814,0.6860020140986909,0.2729713484271689,0.7611651132372111,0.25073882156728056
"(256, 64)",0.2,0.0005,20,0.7235256816740647,0.17753254406171318,0.667472306143001,0.28046716316858494,0.7571969116868418,0.2460386005848919
"(256, 128)",0.2,0.0005,20,0.7115100076419036,0.17262758762041402,0.6785498489425982,0.2752338548261917,0.7585759341176198,0.24419922997999333
"(256, 64)",0.2,0.001,20,0.7264035900687771,0.17685518143184048,0.6537764350453172,0.2783995883185385,0.7547496560254443,0.23468804821327907
"(256, 128)",0.2,0.001,20,0.7191519112888802,0.17373555296363058,0.6600201409869083,0.27506610148151256,0.7543301590029353,0.2339391102341881
