feature,mean_abs_shap,feature_group
APP_EXT_SOURCE_MEAN,0.4650190698175897,application
PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,0.1057411355906419,previous_application
AMT_ANNUITY,0.10515146451199135,application
APP_ANNUITY_CREDIT_RATIO,0.09906676072275009,application
APP_GOODS_CREDIT_RATIO,0.0984750162813986,application
INST_LATE_RATE,0.0837050993427446,installments
DAYS_EMPLOYED,0.08271767688780636,application
NAME_FAMILY_STATUS_Married,0.06970686620422968,application
CODE_GENDER_M,0.06866758150843887,application
PREV_REFUSED_COUNT,0.06212965292788225,previous_application
